@relation localsubcellular
@attribute A numeric
@attribute R numeric
@attribute N numeric
@attribute D numeric
@attribute C numeric
@attribute Q numeric
@attribute E numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute L numeric
@attribute K numeric
@attribute M numeric
@attribute F numeric
@attribute P numeric
@attribute S numeric
@attribute T numeric
@attribute W numeric
@attribute Y numeric
@attribute V numeric
@attribute BASIC numeric
@attribute ACID numeric
@attribute POLAR numeric
@attribute NONPOLAR numeric
@attribute CHAM830103 numeric
@attribute CHAM830104 numeric
@attribute CHAM830105 numeric
@attribute FAUJ880111 numeric
@attribute MONM990201 numeric
@attribute MONM990101 numeric
@attribute BEGF750101 numeric
@attribute BROC820102 numeric
@attribute FAUJ880112 numeric
@attribute GEIM800103 numeric
@attribute GEIM800105 numeric
@attribute LEWP710101 numeric
@attribute NAKH900102 numeric
@attribute NAKH900108 numeric
@attribute OOBM850104 numeric
@attribute PALJ810115 numeric
@attribute PONP800106 numeric
@attribute QIAN880116 numeric
@attribute RICJ880107 numeric
@attribute ROBB760111 numeric
@attribute ROSM880103 numeric
@attribute VENT840101 numeric
@attribute AURR980101 numeric
@attribute AURR980105 numeric
@attribute AURR980118 numeric
@attribute ZHOH040103 numeric
@attribute INIBASIC numeric
@attribute INIACID numeric
@attribute INIPOLAR numeric
@attribute ININONPOLAR numeric
@attribute INICHAM830103 numeric
@attribute INICHAM830104 numeric
@attribute INICHAM830105 numeric
@attribute INIFAUJ880111 numeric
@attribute INIMONM990201 numeric
@attribute INIMONM990101 numeric
@attribute INIBEGF750101 numeric
@attribute INIBROC820102 numeric
@attribute INIFAUJ880112 numeric
@attribute INIGEIM800103 numeric
@attribute INIGEIM800105 numeric
@attribute INILEWP710101 numeric
@attribute ININAKH900102 numeric
@attribute ININAKH900108 numeric
@attribute INIOOBM850104 numeric
@attribute INIPALJ810115 numeric
@attribute INIPONP800106 numeric
@attribute INIQIAN880116 numeric
@attribute INIRICJ880107 numeric
@attribute INIROBB760111 numeric
@attribute INIROSM880103 numeric
@attribute INIVENT840101 numeric
@attribute INIAURR980101 numeric
@attribute INIAURR980105 numeric
@attribute INIAURR980118 numeric
@attribute INIZHOH040103 numeric
@attribute ENDBASIC numeric
@attribute ENDACID numeric
@attribute ENDPOLAR numeric
@attribute ENDNONPOLAR numeric
@attribute ENDCHAM830103 numeric
@attribute ENDCHAM830104 numeric
@attribute ENDCHAM830105 numeric
@attribute ENDFAUJ880111 numeric
@attribute ENDMONM990201 numeric
@attribute ENDMONM990101 numeric
@attribute ENDBEGF750101 numeric
@attribute ENDBROC820102 numeric
@attribute ENDFAUJ880112 numeric
@attribute ENDGEIM800103 numeric
@attribute ENDGEIM800105 numeric
@attribute ENDLEWP710101 numeric
@attribute ENDNAKH900102 numeric
@attribute ENDNAKH900108 numeric
@attribute ENDOOBM850104 numeric
@attribute ENDPALJ810115 numeric
@attribute ENDPONP800106 numeric
@attribute ENDQIAN880116 numeric
@attribute ENDRICJ880107 numeric
@attribute ENDROBB760111 numeric
@attribute ENDROSM880103 numeric
@attribute ENDVENT840101 numeric
@attribute ENDAURR980101 numeric
@attribute ENDAURR980105 numeric
@attribute ENDAURR980118 numeric
@attribute ENDZHOH040103 numeric
@attribute MIDBASIC numeric
@attribute MIDACID numeric
@attribute MIDPOLAR numeric
@attribute MIDNONPOLAR numeric
@attribute MIDCHAM830103 numeric
@attribute MIDCHAM830104 numeric
@attribute MIDCHAM830105 numeric
@attribute MIDFAUJ880111 numeric
@attribute MIDMONM990201 numeric
@attribute MIDMONM990101 numeric
@attribute MIDBEGF750101 numeric
@attribute MIDBROC820102 numeric
@attribute MIDFAUJ880112 numeric
@attribute MIDGEIM800103 numeric
@attribute MIDGEIM800105 numeric
@attribute MIDLEWP710101 numeric
@attribute MIDNAKH900102 numeric
@attribute MIDNAKH900108 numeric
@attribute MIDOOBM850104 numeric
@attribute MIDPALJ810115 numeric
@attribute MIDPONP800106 numeric
@attribute MIDQIAN880116 numeric
@attribute MIDRICJ880107 numeric
@attribute MIDROBB760111 numeric
@attribute MIDROSM880103 numeric
@attribute MIDVENT840101 numeric
@attribute MIDAURR980101 numeric
@attribute MIDAURR980105 numeric
@attribute MIDAURR980118 numeric
@attribute MIDZHOH040103 numeric

@attribute class {SECRETED,NON-SECRETED}
@data
15,9,5,12,1,12,9,11,3,10,21,14,5,4,7,13,11,4,3,15,26.0,21.0,56.0,81.0,187.0,132.0,65.0,26.0,168.49998,182.20001,114.71999,549.4,21.0,194.93002,185.40999,59.770004,517.71,-1.2600031,-425.39996,173.99998,2147.67,-13.440001,204.69998,-83.7,100.8,57.0,184.44997,177.70999,186.73001,2352.6,5.0,3.0,10.0,22.0,39.0,32.0,13.0,5.0,33.5,36.9,25.840002,180.1,3.0,40.29,40.43,12.170001,114.170006,5.82,-109.229996,35.61,481.25998,-4.48,49.600002,-30.6,20.900002,13.0,40.850002,36.89,41.640003,552.60004,6.0,10.0,16.0,28.0,59.0,43.0,22.5,6.0,56.0,61.800003,38.43,171.2,10.0,66.77,60.030003,19.29,167.71002,-10.57,-125.78001,56.619995,702.49,-5.2799997,71.4,-30.899998,33.7,20.0,60.629997,58.050003,60.309998,771.2999,12.0,6.0,21.0,23.0,65.0,41.0,20.0,12.0,58.600006,62.400005,37.38,138.30002,6.0,64.16,61.45,20.66,177.85999,1.7600002,-140.84,59.600002,709.49005,-2.3700006,59.400005,-28.8,33.399998,15.0,61.81,61.019997,62.589996,734.8,NON-SECRETED
74,18,41,53,2,21,27,44,11,36,47,50,16,22,31,32,34,7,29,52,79.0,80.0,203.0,285.0,620.0,425.0,204.5,79.0,603.49994,649.10004,393.11,1618.4999,80.0,690.9601,638.02997,219.53,1802.2402,34.12,-980.1801,629.64,7468.0107,-43.030006,622.2,-426.30005,373.0,193.0,652.94,631.7701,656.99994,8204.801,3.0,5.0,10.0,22.0,44.0,29.0,10.0,3.0,29.8,31.0,28.19,154.8,5.0,45.579994,39.46,13.399999,107.83,8.06,-112.14001,33.47,475.97003,-4.6099997,45.7,-46.000004,21.199999,12.0,38.539997,40.54,40.09,552.19995,9.0,9.0,14.0,28.0,54.0,41.0,20.5,9.0,56.900005,61.7,37.219997,170.20001,9.0,68.259995,56.75,20.669998,170.55,-0.2099992,-116.94,57.409996,678.4699,-4.6600003,56.6,-40.8,34.399998,16.0,61.069996,58.920002,62.08,748.19995,25.0,27.0,63.0,100.0,199.0,133.0,66.0,25.0,197.9,214.8,132.76,518.4001,27.0,230.59001,213.18,71.54,602.16003,-3.569992,-282.9,211.68,2492.01,-15.27,211.39998,-183.7,123.5,65.0,217.45999,206.89,218.27002,2730.8,NON-SECRETED
30,31,15,11,6,15,18,21,12,14,24,16,10,11,13,27,20,5,17,15,59.0,29.0,121.0,122.0,316.0,223.0,137.5,59.0,317.3,336.9,193.73999,787.39996,29.0,333.65,331.66998,108.450005,916.93005,6.020002,-412.88,320.61,3844.9702,-16.810001,343.09998,-63.399994,189.5,86.0,332.27,314.55005,332.49,4150.3,5.0,2.0,16.0,17.0,32.0,17.0,12.0,5.0,33.3,35.000004,24.0,73.2,2.0,40.08,38.919994,13.95,110.53,0.6899995,-65.89001,39.760002,468.65,-1.77,39.100002,0.39999914,18.8,6.0,38.890003,38.679996,39.05,494.79996,12.0,6.0,20.0,22.0,59.0,47.0,31.0,12.0,59.1,63.20001,35.749996,189.10002,6.0,63.089996,59.24,18.33,160.31,11.319999,-78.17,55.769997,698.13007,-3.32,63.999996,-6.099999,38.099995,19.0,61.08,56.529995,60.969997,777.4,17.0,10.0,34.0,50.0,108.0,82.0,41.0,17.0,100.80001,109.2,70.07,357.00003,10.0,113.240005,111.27999,33.759995,318.31,3.17,-231.31,103.18999,1293.32,-9.790001,124.59999,-73.5,63.199997,34.0,112.45999,103.21999,112.38001,1455.6,NON-SECRETED
41,11,16,13,2,25,15,29,5,23,34,22,7,11,28,20,25,12,16,22,38.0,28.0,133.0,178.0,349.0,244.0,130.0,38.0,346.39996,369.2,224.36998,1294.4,28.0,390.05,380.57,125.340004,1057.15,25.049995,-797.9901,376.31998,4361.98,-21.95,393.99997,-144.59999,214.09999,118.0,378.46002,361.96,381.77,4912.5996,4.0,2.0,15.0,19.0,46.0,28.0,13.0,4.0,33.300003,34.6,24.230003,160.80002,2.0,41.37,41.98,12.21,109.37,7.6299996,-121.2,34.800003,470.15,-2.7000003,43.6,-17.099998,22.699999,13.0,38.92,38.969997,40.330006,550.5,7.0,2.0,19.0,32.0,50.0,32.0,17.5,7.0,54.0,58.600006,36.07,181.30002,2.0,59.83,60.199997,18.48,174.46999,2.1399992,-125.63999,60.66,693.81995,-4.1,59.3,-55.70001,33.0,17.0,59.9,54.559994,59.56,781.6001,13.0,11.0,44.0,57.0,110.0,79.0,47.5,13.0,117.99999,125.8,73.69,396.19998,11.0,127.53,125.21999,41.57,350.08997,-1.0600004,-195.48999,127.6,1444.53,-6.7899995,131.8,-55.7,73.5,38.0,126.13,120.09998,125.45001,1602.1001,NON-SECRETED
45,29,25,24,1,23,16,32,9,24,39,16,8,11,29,35,33,3,9,34,54.0,40.0,158.0,193.0,430.0,275.0,125.5,54.0,417.80002,447.2,261.11002,1221.3,40.0,437.11002,445.70004,151.15999,1265.04,4.7800045,-625.82007,436.34998,5148.0605,-19.469997,439.69995,-274.59998,243.8,120.0,444.53,437.61002,440.1,5507.4,3.0,1.0,16.0,20.0,43.0,29.0,10.5,3.0,32.999996,34.5,25.470001,162.6,1.0,41.3,42.41,13.06,110.82001,8.070001,-108.520004,36.610004,476.64993,-3.2000003,48.399994,-13.899998,20.300003,14.0,37.910004,37.929996,38.920002,559.3,5.0,6.0,26.0,23.0,55.0,40.0,19.0,5.0,57.700005,60.4,34.84,160.2,6.0,62.71,58.220005,20.87,169.87,-0.51999944,-28.879995,60.2,684.4,-2.1900003,56.7,-38.799995,37.0,13.0,59.300003,60.809994,59.43,717.39996,22.0,13.0,51.0,63.0,141.0,79.0,37.5,22.0,141.19998,151.2,87.17,330.09998,13.0,144.47998,146.86,52.380005,428.09998,-2.1199975,-226.67998,146.38002,1703.5599,-4.129999,134.4,-79.899994,75.3,33.0,148.93,147.04001,145.54999,1773.7999,NON-SECRETED
19,0,14,8,4,11,8,12,2,8,24,14,4,1,1,15,11,2,2,5,16.0,16.0,69.0,64.0,157.0,122.0,45.0,16.0,148.1,158.59998,103.16999,354.50003,16.0,193.03,159.74,55.420002,473.15997,17.499996,-436.39,163.47,1909.8201,-12.22,171.4,-30.800005,90.69999,42.0,158.78001,161.35,165.82,2040.9001,5.0,2.0,11.0,22.0,36.0,24.0,10.5,5.0,28.5,29.7,28.359997,111.799995,2.0,50.49,39.820004,12.4,114.53,3.2200003,-162.0,36.81,473.74002,-4.7299995,48.1,-28.999996,19.199999,10.0,37.120003,35.61,39.91,555.0,7.0,9.0,25.0,19.0,61.0,51.0,18.0,7.0,59.0,64.4,35.26,122.99999,9.0,66.61,57.67,20.65,172.34999,5.2699986,-131.8,59.469997,689.08,-4.02,59.499996,2.1000004,34.9,17.0,60.530003,60.81,62.46,713.9001,4.0,5.0,25.0,21.0,51.0,43.0,13.0,4.0,50.400005,54.300003,34.66,103.1,5.0,65.77,52.23,18.089996,159.53998,9.95,-115.89,55.44,636.51,-4.2200003,54.800003,-28.599995,32.1,14.0,51.82,53.91,54.049995,666.7,NON-SECRETED
24,4,7,17,0,8,10,12,2,7,11,23,5,2,1,21,19,0,2,26,29.0,27.0,69.0,76.0,216.0,109.0,56.0,29.0,180.6,192.4,126.31,204.6,27.0,216.55002,202.33,68.09,574.33,-26.649994,-452.23,191.75,2309.34,-8.310001,185.9,-123.69999,102.5,48.0,196.82997,199.67,197.09003,2357.1,3.0,2.0,18.0,17.0,41.0,22.0,10.0,3.0,31.499998,31.800001,26.66,84.3,2.0,43.329998,40.1,13.57,115.02001,3.0099998,-111.99,38.430004,463.08,-1.8300004,39.2,-27.5,20.0,8.0,37.48,39.77,38.25,488.40002,11.0,9.0,17.0,23.0,66.0,35.0,16.0,11.0,56.3,61.0,37.19,69.3,9.0,64.09,60.879997,20.38,175.01001,-12.020001,-143.90001,57.1,684.89996,-2.7000003,56.7,-40.3,29.900002,16.0,59.419994,59.199997,59.589996,698.3,11.0,11.0,22.0,23.0,73.0,34.0,21.0,11.0,62.5,68.1,41.130005,20.700005,11.0,70.77,68.52,21.629997,189.88,-14.690001,-117.36,63.729996,773.67,-2.2300003,60.8,-36.1,35.300003,18.0,67.46,65.0,66.12,779.3,NON-SECRETED
18,18,7,11,1,16,15,12,3,9,34,10,4,5,8,10,15,2,3,13,31.0,26.0,64.0,93.0,213.0,171.0,77.0,31.0,196.09999,215.0,136.29001,732.3,26.0,220.95001,213.33,65.78,618.85004,-5.7799997,-392.8,196.45,2502.84,-18.070002,251.20001,-140.09999,121.79999,66.0,217.72,204.26001,217.67,2733.5,8.0,0.0,10.0,22.0,39.0,34.0,18.5,8.0,31.699999,35.300003,27.86,205.6,0.0,41.43,41.98,10.09,111.16998,4.389999,-136.54,34.590004,484.46994,-5.99,60.1,-12.2,20.5,15.0,38.51,34.569996,40.649998,585.69995,8.0,7.0,19.0,26.0,64.0,49.0,22.5,8.0,54.699997,59.40001,38.19,206.90001,7.0,61.500004,60.33,17.63,175.06,-1.3500001,-156.83,55.07,703.0999,-4.75,71.5,-49.199997,35.199997,19.0,60.39,58.03,60.31,758.1,10.0,12.0,23.0,27.0,66.0,55.0,24.0,10.0,70.69999,78.8,43.489994,180.5,12.0,75.68,70.63,24.629997,210.31,-2.86,-65.29001,69.16,829.7,-3.9300003,72.50001,-12.4,39.7,22.0,76.04,68.83,74.84999,873.69995,NON-SECRETED
74,49,31,33,3,43,40,36,4,25,60,28,22,17,29,37,39,20,30,34,81.0,73.0,219.0,281.0,613.0,462.0,263.0,81.0,613.1,655.0,402.93002,1988.2001,73.0,692.2001,648.43,215.63,1826.56,-8.049993,-981.3899,627.39,7580.1006,-43.4,708.2,-278.99997,380.00003,186.0,659.02,629.3,657.49005,8345.0,5.0,5.0,9.0,21.0,40.0,30.0,11.5,5.0,30.699995,33.100006,28.67,136.5,5.0,46.1,41.359997,11.7699995,115.92001,-3.2899997,-97.77999,35.17,475.29996,-5.3199997,53.299995,-47.8,21.900002,15.0,39.0,36.05,39.910007,567.0,8.0,6.0,21.0,25.0,58.0,37.0,25.0,8.0,53.899994,55.800003,36.02,179.40001,6.0,58.200005,62.629997,20.82,163.79999,4.0200014,-67.25,57.58,696.63,-2.6200001,61.8,-11.200001,33.800003,21.0,60.969994,57.08,59.650005,803.69995,28.0,32.0,63.0,95.0,210.0,165.0,89.0,28.0,204.9,222.8,140.70001,684.2,32.0,238.95,211.26,69.94,613.14,-15.940002,-318.78003,197.48,2530.13,-17.08,243.9,-128.69997,126.2,57.0,222.61002,210.58002,220.42,2738.7,NON-SECRETED
14,6,4,10,2,5,7,12,3,10,13,15,4,5,7,12,5,1,5,17,24.0,17.0,45.0,71.0,156.0,101.0,51.5,24.0,141.99998,154.49998,96.33999,373.5,17.0,163.04,160.07,50.380005,443.56,3.38,-335.04,149.67,1838.1,-11.15,161.6,-94.399994,84.600006,51.0,158.12001,147.39001,159.05,2027.6002,7.0,4.0,8.0,21.0,41.0,33.0,14.0,7.0,33.9,37.299995,26.53,158.1,4.0,44.46,39.989998,12.44,109.44,11.84,-124.770004,37.31,479.94995,-4.53,46.300003,-33.399998,22.2,15.0,41.079998,37.269997,43.480003,547.6,11.0,4.0,16.0,29.0,59.0,37.0,24.5,11.0,54.100006,58.600006,37.67,164.89998,4.0,59.39,62.870003,17.699999,170.73999,-2.960002,-129.81999,57.48,700.01,-4.55,65.7,-50.6,33.0,21.0,59.27,54.569996,59.170002,786.60004,6.0,6.0,22.0,19.0,51.0,28.0,14.0,6.0,48.399998,52.800003,30.380001,53.499996,6.0,54.210003,54.379997,17.929998,154.37,-4.21,-109.29,51.390003,614.83997,-1.5999999,48.8,11.900002,25.500002,14.0,53.449997,49.769993,52.48,647.3,NON-SECRETED
16,5,29,23,0,12,18,25,4,49,27,38,5,12,10,37,26,1,20,19,47.0,41.0,149.0,139.0,419.0,270.0,115.5,47.0,354.00003,373.3,216.31,904.60004,41.0,402.07996,381.01996,131.38,1030.16,107.18001,-908.75995,363.33,4346.59,-12.13,330.8,-45.400005,215.5,128.0,374.92996,377.39,383.93,4728.0996,6.0,0.0,17.0,17.0,50.0,27.0,14.0,6.0,30.899998,30.700003,23.509998,152.79999,0.0,39.03,44.1,13.35,103.15,22.88,-174.71,36.97,478.91998,-1.3799999,41.800003,16.8,20.1,17.0,37.719997,39.73,40.42,564.6,9.0,9.0,21.0,21.0,78.0,47.0,21.0,9.0,57.899994,61.500004,35.75,111.6,9.0,69.17,59.72,19.29,160.63,19.909998,-200.04,52.480003,692.11993,-2.52,48.8,-24.499996,36.700005,20.0,59.800007,61.149998,61.49,741.69995,13.0,11.0,51.0,51.0,130.0,83.0,32.5,13.0,122.10001,129.8,69.11,334.1,11.0,131.09999,125.94999,45.45,350.97998,38.52,-299.84003,126.79,1448.1399,-2.0899997,103.299995,-12.399997,69.99999,40.0,126.76,126.200005,128.27,1559.0999,NON-SECRETED
16,17,48,35,1,14,46,37,7,63,46,61,6,27,10,38,29,1,31,30,85.0,81.0,198.0,199.0,622.0,448.0,210.5,85.0,544.9,587.49994,330.41003,1284.7001,81.0,605.13,560.06995,184.26,1542.8002,141.65001,-1189.06,526.97003,6534.9404,-29.9,517.80005,-132.29999,343.30005,198.0,575.73,555.33,582.75006,7096.8003,5.0,2.0,16.0,17.0,47.0,40.0,12.0,5.0,39.0,42.100006,24.13,139.59999,2.0,45.35,38.6,12.079999,102.74,31.930002,-108.829994,37.59,471.96002,-4.200001,37.600002,-28.599995,27.299997,17.0,37.889996,40.09,40.559998,545.2,7.0,12.0,20.0,21.0,64.0,48.0,25.0,7.0,56.8,61.8,36.07,109.6,12.0,68.08999,59.77,18.89,163.76,9.649999,-83.009995,54.180004,704.58997,-3.8999999,56.100002,-20.700003,38.999996,22.0,63.460003,57.009995,63.26,778.8,28.0,20.0,69.0,70.0,207.0,135.0,64.0,28.0,174.00002,186.39998,108.54001,506.40002,20.0,186.94998,190.33,61.350002,522.26,42.14,-481.97,174.99998,2167.48,-7.2799997,176.0,-17.400002,105.0,64.0,189.96,184.65001,190.91,2363.6,NON-SECRETED
25,13,33,23,2,17,23,41,10,36,39,38,10,13,19,32,34,10,22,17,61.0,46.0,181.0,169.0,459.0,326.0,161.0,61.0,441.39996,467.2,262.27002,1184.7,46.0,480.61005,453.46997,160.84,1255.38,81.619995,-955.9,459.06,5266.1304,-18.989998,435.59998,4.9000015,262.6,137.0,460.03,455.03998,469.05,5690.2,7.0,1.0,14.0,18.0,47.0,28.0,15.0,7.0,32.700005,34.000004,25.079998,157.8,1.0,38.519997,41.789997,12.43,112.92999,8.34,-181.68001,35.600002,466.30997,-2.3399997,43.999996,-4.099999,19.4,12.0,38.79,39.559998,40.4,520.19995,8.0,8.0,21.0,23.0,60.0,45.0,20.0,8.0,60.4,64.100006,34.06,167.3,8.0,66.05,57.84,22.98,161.54001,13.940001,-129.31999,60.93,684.83,-2.71,53.600002,6.2999997,34.300003,18.0,61.58,61.379997,63.42,743.80005,24.0,12.0,68.0,49.0,151.0,114.0,56.5,24.0,149.79999,158.80002,86.27,421.6,12.0,157.31,151.68999,54.59,422.61002,28.61,-329.12,157.6,1757.8099,-4.54,152.00002,74.100006,84.8,43.0,153.44,153.63002,158.22998,1851.3999,NON-SECRETED
34,16,56,34,3,11,33,50,9,40,42,56,11,17,12,50,37,7,25,54,81.0,67.0,232.0,217.0,632.0,399.0,188.5,81.0,568.3,605.2,349.77997,1055.1,67.0,628.37,599.07996,204.08002,1645.8201,93.32,-1224.66,586.57,6914.1094,-25.23,545.60004,-146.70001,337.3,185.0,592.9799,590.38,597.47,7378.0,6.0,5.0,7.0,22.0,43.0,29.0,21.0,6.0,32.5,36.0,27.010002,145.40001,5.0,42.65,41.219997,10.659999,104.590004,6.52,-165.57999,34.010002,478.66,-5.4700003,48.8,-17.1,22.9,18.0,40.46,37.01,40.96,585.0,8.0,7.0,21.0,24.0,60.0,45.0,17.5,8.0,54.499996,58.0,37.59,145.69998,7.0,67.2,59.21,20.81,171.54,10.599999,-163.77,60.28,688.31,-4.17,58.899998,-24.0,33.699997,20.0,59.579994,58.949997,61.66,755.3,18.0,19.0,91.0,71.0,211.0,135.0,57.0,18.0,192.3,201.5,112.37,397.5,19.0,213.22998,197.93,70.53,536.46,54.73,-318.91,197.12,2302.5498,-5.4400005,170.59999,-35.4,117.69999,59.0,193.98999,201.85,196.30998,2462.0,NON-SECRETED
0,3,24,4,2,3,8,2,5,19,14,16,3,13,7,12,3,1,13,6,24.0,12.0,59.0,63.0,177.0,140.0,65.5,24.0,154.69998,163.99998,88.28,516.1,12.0,167.57999,159.05,49.04,406.9,87.34001,-337.04,150.03,1863.59,-11.98,150.9,-58.699997,107.5,66.0,156.09001,154.27,163.04001,2166.2,8.0,1.0,12.0,19.0,46.0,36.0,18.0,8.0,34.7,37.300003,23.779999,189.90002,1.0,39.66,41.62,11.47,105.63999,26.300001,-170.58,35.96,476.12997,-3.74,43.7,0.20000029,23.599998,19.0,39.479996,38.089996,42.03,576.7,7.0,4.0,25.0,24.0,65.0,49.0,24.5,7.0,59.00001,60.399998,31.939999,192.8,4.0,62.519997,61.620003,20.28,146.7,35.36,-50.24,59.539997,710.7601,-3.73,54.8,-26.000002,42.899998,26.0,58.97,58.969997,61.350006,851.5999,9.0,6.0,17.0,20.0,57.0,48.0,23.0,9.0,53.7,58.300007,29.19,138.4,6.0,56.180004,50.34,15.43,137.43001,20.710001,-104.77,48.899998,609.47,-4.81,49.099995,-33.9,36.399998,19.0,52.260002,50.84,54.129997,679.2,NON-SECRETED
12,6,16,18,2,3,14,11,8,21,22,32,8,13,7,16,14,0,15,12,46.0,32.0,77.0,95.0,267.0,198.0,99.0,46.0,236.99998,253.20001,149.9,619.0,32.0,270.66,247.47002,82.240005,677.8,55.120003,-531.0,236.64,2905.62,-18.59,242.4,-101.7,151.70001,83.0,253.20998,244.87,262.15,3207.9,8.0,2.0,9.0,21.0,46.0,33.0,15.0,8.0,34.400005,37.1,25.66,175.3,2.0,40.449993,41.460003,11.839999,105.44,15.93,-122.649994,35.650005,483.91998,-4.2,47.1,-36.1,22.6,16.0,39.910004,37.61,41.93,563.69995,10.0,6.0,21.0,23.0,59.0,39.0,26.0,10.0,55.599995,59.800007,34.929996,96.899994,6.0,61.829998,60.520004,19.359999,162.33998,9.049999,-120.79,56.189995,702.89,-4.1399994,55.8,3.499998,33.199997,18.0,60.28,56.179996,60.799995,780.5,11.0,12.0,31.0,30.0,88.0,64.0,27.0,11.0,81.4,85.700005,48.120003,201.4,12.0,92.630005,81.5,30.169998,228.37999,20.41,-143.89,82.47,960.33997,-4.09,72.7,-26.0,52.1,26.0,84.48,86.55,87.28001,1042.2,NON-SECRETED
16,14,14,11,1,5,19,18,4,19,17,20,6,9,4,34,16,1,11,17,38.0,30.0,99.0,89.0,270.0,167.0,89.5,38.0,238.19998,251.6,150.81,443.2,30.0,265.53003,258.18997,86.409996,714.47003,28.280003,-495.91003,245.64998,2971.3003,-7.8999977,237.8,-55.399994,142.8,74.0,254.87,251.56001,254.38998,3129.3,4.0,1.0,14.0,21.0,43.0,26.0,10.0,4.0,31.300001,33.000004,25.57,137.2,1.0,43.07,41.229992,12.06,111.369995,13.04,-147.86,35.710003,476.8,-3.1999996,43.1,-26.3,20.6,13.0,37.63,37.68,39.07,551.9,7.0,4.0,27.0,22.0,56.0,36.0,18.5,7.0,54.599995,56.600002,34.539997,120.9,4.0,61.309998,61.0,22.95,163.84998,13.849999,-110.13999,63.47,697.81,-1.45,55.499996,19.200003,30.300001,18.0,58.479996,59.479992,59.749992,748.39996,16.0,9.0,36.0,25.0,100.0,57.0,34.0,16.0,81.899994,85.6,49.43,121.3,9.0,86.21,90.2,27.919998,241.46002,5.58,-185.81,82.61,994.3499,-0.9599998,79.899994,-11.099998,49.0,27.0,85.05998,84.11,85.09999,1030.3999,NON-SECRETED
7,9,15,8,2,10,11,11,2,19,16,16,5,5,3,12,14,1,4,12,27.0,19.0,68.0,68.0,206.0,137.0,63.5,27.0,172.30002,185.5,108.39,428.69998,19.0,190.99998,184.08,58.650005,501.68005,33.120003,-468.40997,168.15002,2130.02,-9.69,180.6,-32.899998,101.600006,57.0,181.27,178.35,183.83,2282.9,5.0,0.0,20.0,15.0,49.0,26.0,8.0,5.0,34.7,35.7,23.36,80.0,0.0,41.71,42.04,13.799999,108.94,16.79,-166.39,39.07,472.58,-1.2499999,37.699997,5.6000023,18.900002,12.0,36.65,39.949997,38.97,506.3,8.0,1.0,25.0,26.0,65.0,37.0,17.0,8.0,51.999996,54.9,35.09,190.7,1.0,54.85,64.56,20.109999,168.83,11.690001,-162.66002,56.670002,706.52997,-2.1799998,62.300003,5.1000023,27.999998,20.0,58.629997,57.019997,59.010002,791.39996,11.0,13.0,14.0,22.0,69.0,57.0,24.5,11.0,61.999996,68.6,37.34,148.4,13.0,69.4,56.720005,18.66,164.58998,8.21,-115.62999,52.43,698.18,-5.2799993,61.299995,-47.000004,39.2,20.0,62.71001,59.539993,63.02,741.9,NON-SECRETED
11,4,15,13,1,3,10,9,5,13,12,12,3,7,6,14,19,6,9,13,21.0,23.0,70.0,71.0,204.0,124.0,62.0,21.0,173.40001,179.5,107.39,464.7,23.0,196.76001,186.47998,64.64001,491.56995,30.78,-374.40002,177.01999,2137.2,-7.9699993,175.79999,-52.6,111.3,60.0,183.67001,188.14001,185.42,2389.6,5.0,1.0,12.0,22.0,47.0,26.0,12.5,5.0,30.599998,31.300003,26.33,158.90001,1.0,40.960003,42.709995,12.269999,108.520004,11.27,-176.16,36.210003,472.11996,-3.76,45.399994,-32.000004,20.9,16.0,37.4,38.889996,39.22,569.5,9.0,9.0,23.0,19.0,72.0,42.0,22.0,9.0,59.6,61.7,34.069996,133.3,9.0,61.29,60.710003,20.839998,157.31,6.52,-85.13,55.3,688.7,-1.6700001,55.999996,-14.9,37.4,19.0,60.399994,62.159992,59.71,753.3,3.0,8.0,25.0,25.0,62.0,37.0,16.0,3.0,57.8,59.4,33.890003,132.29999,8.0,66.98,60.42,22.390001,163.14,13.599998,-88.2,60.599995,702.7001,-1.8599999,50.500004,-29.8,38.1,19.0,60.780003,61.85,60.59,790.1,NON-SECRETED
20,10,36,26,0,7,30,31,7,34,23,51,10,15,10,31,21,0,23,28,68.0,56.0,149.0,140.0,435.0,295.0,153.0,68.0,407.60004,437.6,240.46002,636.5,56.0,441.82004,405.81998,139.86002,1135.5099,69.439995,-754.09985,404.56998,4760.5103,-18.18,354.99997,-123.399994,244.99998,123.0,419.22998,408.81,424.12003,4973.6,6.0,3.0,12.0,19.0,42.0,22.0,16.0,6.0,30.900002,32.5,27.540003,81.80001,3.0,43.170002,40.92,12.41,112.05,-0.6099994,-150.64,36.690002,469.62,-3.3200002,42.0,-24.3,19.1,10.0,38.799995,38.03,40.11,508.39996,10.0,7.0,22.0,21.0,59.0,39.0,23.0,10.0,60.899998,66.7,33.079998,108.49999,7.0,57.279995,60.4,19.55,163.28,9.819999,-32.87,58.350002,698.22,-1.8200002,52.1,-9.0,35.600002,20.0,62.329994,57.15,60.39,745.99994,21.0,17.0,47.0,52.0,148.0,100.0,41.0,21.0,133.2,145.0,81.869995,249.19998,17.0,147.51,134.06999,45.040005,380.15997,27.419996,-317.41003,133.54001,1590.0101,-7.93,123.4,-77.7,79.5,42.0,137.97,135.64,140.36,1663.0999,NON-SECRETED
